Land,AV-Ort,Schengen gesamt erteilt,Schengen gesamt abgelehnt,Schengen gesamt bearbeitet,Schengen Ablehnungsquote,D gesamt erteilt,D gesamt abgelehnt,D gesamt bearbeitet,D Ablehnungsquote
China,Hongkong,1177,25,1202,2.08%,436,38,474,8.02%
China,Kanton,25168,1127,26295,4.29%,1044,176,1220,14.43%
China,Peking,59571,3008,62579,4.81%,7077,515,7592,6.78%
China,Shanghai,50156,6828,56984,11.98%,4223,357,4580,7.79%
China Gesamt,"",140515,11695,152210,7.68%,13046,1146,14192,8.07%
Costa Rica,San José,73,6,79,7.59%,186,20,206,9.71%
Côte d'Ivoire,Abidjan,876,487,1363,35.73%,117,74,191,38.74%
Dänemark,Kopenhagen,6,0,6,0.00%,80,11,91,12.09%
Dominikanische Republik,Santo Domingo,1914,918,2832,32.42%,437,88,525,16.76%
Ecuador,Quito,4931,238,5169,4.60%,418,83,501,16.57%
EJR Mazedonien,Skopje,12901,2548,15449,16.49%,1185,553,1738,31.82%
El Salvador,San Salvador,8,0,8,0.00%,43,2,45,4.44%
Estland,Tallinn,2,0,2,0.00%,24,0,24,0.00%
Finnland,Helsinki,10,1,11,9.09%,56,7,63,11.11%
Frankreich,Paris,37,8,45,17.78%,453,115,568,20.25%
Georgien,Tiflis,17931,2885,20816,13.86%,1136,358,1494,23.96%
Ghana,Accra,2413,1346,3759,35.81%,386,307,693,44.30%
Griechenland,Athen,18,2,20,10.00%,63,28,91,30.77%
Großbritannien,Edinburgh,3323,29,3352,0.87%,67,9,76,11.84%
Großbritannien,London,19718,345,20063,1.72%,550,35,585,5.98%
Großbritannien Gesamt,"",23041,374,23415,1.60%,617,44,661,6.66%
Guatemala,Guatemala-Stadt,71,4,75,5.33%,84,11,95,11.58%
Guinea,Conakry,746,913,1659,55.03%,79,63,142,44.37%
Honduras,Tegucigalpa,8,0,8,0.00%,48,15,63,23.81%
Indien,Chennai,23151,2126,25277,8.41%,4673,990,5663,17.48%
Indien,Kalkutta,6245,110,6355,1.73%,400,24,424,5.66%
Indien,Mumbai,28278,544,28822,1.89%,2121,291,2412,12.06%
Indien,New Delhi,19868,1717,21585,7.95%,1745,400,2145,18.65%
Indien Gesamt,"",77542,4497,82039,5.48%,8939,1705,10644,16.02%
Indonesien,Jakarta,11312,420,11732,3.58%,1600,121,1721,7.03%
Irak,Bagdad,3075,424,3499,12.12%,132,32,164,19.51%
Iran,Teheran,45312,6254,51566,12.13%,1612,739,2351,31.43%
Irland,Dublin,1260,208,1468,14.17%,48,9,57,15.79%
Island,Reykjavik,2,0,2,0.00%,6,0,6,0.00%
Israel,Tel Aviv,1982,428,2410,17.76%,512,152,664,22.89%
Italien,Mailand,121,5,126,3.97%,191,59,250,23.60%
Italien,Neapel,0,0,0,na,1,1,2,50.00%
Italien,Rom,103,15,118,12.71%,130,54,184,29.35%
Italien Gesamt,"",224,20,244,8.20%,322,114,436,26.15%
Jamaika,Kingston,1123,98,1221,8.03%,74,12,86,13.95%
Japan,Osaka-Kobe,460,22,482,4.56%,223,14,237,5.91%
Japan,Tokyo,909,84,993,8.46%,340,87,427,20.37%
Japan Gesamt,"",1369,106,1475,7.19%,563,101,664,15.21%
Jemen,Sanaa,3377,368,3745,9.83%,304,30,334,8.98%
Jordanien,Amman,5927,825,6752,12.22%,1125,553,1678,32.96%
Kambodscha,Phnom Penh,809,98,907,10.80%,55,14,69,20.29%
Kamerun,Jaunde,2472,1174,3646,32.20%,1121,833,1954,42.63%
Kanada,Ottawa,586,17,603,2.82%,266,6,272,2.21%
Kanada,Toronto,1087,40,1127,3.55%,203,21,224,9.38%
Kanada,Vancouver,861,23,884,2.60%,185,3,188,1.60%
Kanada Gesamt,"",2534,80,2614,3.06%,654,30,684,4.39%
Kasachstan,Almaty,11936,406,12342,3.29%,493,135,628,21.50%
Kasachstan,Astana,15348,1146,16494,6.95%,1418,159,1577,10.08%
Kasachstan Gesamt,"",27284,1552,28836,5.38%,1911,294,2205,13.33%
Katar,Doha,13264,67,13331,0.50%,40,13,53,24.53%
Kenia,Nairobi,4575,763,5338,14.29%,1268,207,1475,14.03%
Kirgistan,Bischkek,5652,755,6407,11.78%,599,113,712,15.87%
Kolumbien,Bogota,8174,537,8711,6.16%,1374,100,1474,6.78%
Kongo,Kinshasa,847,691,1538,44.93%,89,54,143,37.76%
Korea DVR,Pjöngjang,106,13,119,10.92%,194,42,236,17.80%
Korea,Seoul,273,43,316,13.61%,797,106,903,11.74%
Kosovo,Pristina,10347,5294,15641,33.85%,3773,1699,5472,31.05%
Kroatien,Zagreb,4181,299,4480,6.67%,6062,300,6362,4.72%
Kuba,Havanna,2121,535,2656,20.14%,423,64,487,13.14%
Kuwait,Kuwait,18383,720,19103,3.77%,98,20,118,16.95%
Laos,Vientiane,575,20,595,3.36%,49,5,54,9.26%
Lettland,Riga,5,0,5,0.00%,28,4,32,12.50%
Libanon,Beirut,5228,545,5773,9.44%,753,258,1011,25.52%
Libyen,Tripolis,7302,420,7722,5.44%,567,109,676,16.12%
Litauen,Wilna,10,0,10,0.00%,6,1,7,14.29%
Luxemburg,Luxemburg,2,1,3,33.33%,41,3,44,6.82%
Madagaskar,Antananarivo,1029,170,1199,14.18%,127,19,146,13.01%
Malawi,Lilongwe,1233,46,1279,3.60%,32,6,38,15.79%
Malaysia,Kuala Lumpur,442,147,589,24.96%,718,113,831,13.60%
Mali,Bamako,587,296,883,33.52%,55,22,77,28.57%
Malta,Valletta,24,4,28,14.29%,13,7,20,35.00%
Marokko,Rabat,8822,2500,11322,22.08%,2166,1242,3408,36.44%
Mauretanien,Nouakchott,434,176,610,28.85%,35,14,49,28.57%
Mexiko,Mexiko-Stadt,292,64,356,17.98%,2257,214,2471,8.66%
Moldau,Chisinau,6251,939,7190,13.06%,541,72,613,11.75%
Mongolai,Ulan Bator,3987,635,4622,13.74%,261,191,452,42.26%
Mosambik,Maputo,663,91,754,12.07%,57,24,81,29.63%
Myanmar,Rangun,773,88,861,10.22%,460,21,481,4.37%
Namibia,Windhuk,3917,100,4017,2.49%,67,10,77,12.99%
Nepal,Kathmandu,1813,450,2263,19.89%,366,211,577,36.57%
Neuseeland,Wellington,335,15,350,4.29%,182,12,194,6.19%
Nicaragua,Managua,5,1,6,16.67%,56,2,58,3.45%
Niederlande,Amsterdam,36,4,40,10.00%,415,65,480,13.54%
Nigeria,Abuja,1329,78,1407,5.54%,66,5,71,7.04%
Nigeria,Lagos,10954,5684,16638,34.16%,441,248,689,35.99%
Nigeria Gesamt,"",12283,5762,18045,31.93%,507,253,760,33.29%
Norwegen,Oslo,2,0,2,0.00%,28,0,28,0.00%
Oman,Maskat,3722,127,3849,3.30%,112,6,118,5.08%
Österreich,Wien,88,11,99,11.11%,574,74,648,11.42%
Pakistan,Islamabad,5266,2834,8100,34.99%,1260,424,1684,25.18%
Pakistan,Karachi,3724,566,4290,13.19%,208,27,235,11.49%
Pakistan Gesamt,"",8990,3400,12390,27.44%,1468,451,1919,23.50%
Panama,Panama,110,5,115,4.35%,74,15,89,16.85%
Paraguay,Asuncion,13,4,17,23.53%,123,29,152,19.08%
Peru,Lima,4779,456,5235,8.71%,694,116,810,14.32%
Philippinen,Manila,7869,1442,9311,15.49%,8246,240,8486,2.83%
Polen,Warschau,1673,13,1686,0.77%,197,8,205,3.90%
Portugal,Lissabon,49,0,49,0.00%,51,9,60,15.00%
Ruanda,Kigali,978,180,1158,15.54%,48,14,62,22.58%
Rumänien,Bukarest,395,106,501,21.16%,16,8,24,33.33%
Russische Föderation,Jekaterinburg,28884,208,29092,0.71%,924,60,984,6.10%
Russische Föderation,Kaliningrad,17834,485,18319,2.65%,483,44,527,8.35%
Russische Föderation,Moskau,210772,6948,217720,3.19%,5926,1167,7093,16.45%
Russische Föderation,Nowosibirsk,36989,387,37376,1.04%,2187,155,2342,6.62%
Russische Föderation,St Petersburg,33382,1211,34593,3.50%,1861,234,2095,11.17%
Russische Föderation Gesamt,"",327861,9239,337100,2.74%,11381,1660,13041,12.73%
Sambia,Lusaka,443,45,488,9.22%,48,14,62,22.58%
Saudi-Arabien,Riad,14952,880,15832,5.56%,490,73,563,12.97%
Schweden,Stockholm,3,0,3,0.00%,162,41,203,20.20%
Schweiz,Bern,1,0,1,0.00%,216,59,275,21.45%
Schweiz,Genf,7,0,7,0.00%,19,2,21,9.52%
Schweiz Gesamt,"",8,0,8,0.00%,235,61,296,20.61%
Senegal,Dakar,2795,2057,4852,42.39%,254,71,325,21.85%
Serbien und Montenegro,Belgrad,40769,3276,44045,7.44%,2722,667,3389,19.68%
Simbabwe,Harare,639,4,643,0.62%,125,5,130,3.85%
Singapur,Singapur,2733,132,2865,4.61%,513,71,584,12.16%
Slowakei,Pressburg,0,0,0,na,7,2,9,22.22%
Slowenien,Laibach,7,0,7,0.00%,923,6,929,0.65%
Spanien,Barcelona,19,0,19,0.00%,180,27,207,13.04%
Spanien,Madrid,25,0,25,0.00%,169,20,189,10.58%
Spanien Gesamt,"",44,0,44,0.00%,349,47,396,11.87%
Sri Lanka,Colombo,3074,1627,4701,34.61%,451,165,616,26.79%
Südafrika,Kapstadt,7613,101,7714,1.31%,261,46,307,14.98%
Südafrika,Pretoria,17173,179,17352,1.03%,341,233,574,40.59%
Südafrika Gesamt,"",24786,280,25066,1.12%,602,279,881,31.67%
Sudan,Khartum,1695,625,2320,26.94%,166,44,210,20.95%
Syrien,Damaskus,5288,2397,7685,31.19%,3753,651,4404,14.78%
Tadschikistan,Duschanbe,2070,138,2208,6.25%,104,16,120,13.33%
Taiwan,Taipei,37232,73,37305,0.20%,834,48,882,5.44%
Tansania,Daressalam,1739,143,1882,7.60%,111,20,131,15.27%
Thailand,Bangkok,22660,2933,25593,11.46%,2793,734,3527,20.81%
Togo,Lome,501,130,631,20.60%,247,126,373,33.78%
Trinidad und Tobago,Port-of-Spain,1296,50,1346,3.71%,29,9,38,23.68%
Tschechische Republik,Prag,134,23,157,14.65%,131,32,163,19.63%
Tunesien,Tunis,6104,1652,7756,21.30%,1029,615,1644,37.41%
Türkei,Ankara,30761,12597,43358,29.05%,7962,2390,10352,23.09%
Türkei,Istanbul,59515,6248,65763,9.50%,4412,1148,5560,20.65%
Türkei,Izmir,19837,2220,22057,10.06%,2349,607,2956,20.53%
Türkei Gesamt,"",110113,21065,131178,16.06%,14723,4145,18868,21.97%
Turkmenistan,Aschgabat,1698,166,1864,8.91%,133,54,187,28.88%
Uganda,Kampala,1535,221,1756,12.59%,114,37,151,24.50%
Ukraine,Kiew,95678,11705,107383,10.90%,5675,808,6483,12.46%
Ungarn,Budapest,43,1,44,2.27%,42,6,48,12.50%
Uruguay,Montevideo,6,5,11,45.45%,45,5,50,10.00%
USA,Atlanta,1144,57,1201,4.75%,72,13,85,15.29%
USA,Boston,1353,16,1369,1.17%,70,8,78,10.26%
USA,Chicago,2425,180,2605,6.91%,185,70,255,27.45%
USA,Houston,1366,81,1447,5.60%,94,52,146,35.62%
USA,Los Angeles,1813,132,1945,6.79%,66,15,81,18.52%
USA,Miami,1033,10,1043,0.96%,47,7,54,12.96%
USA,New York,3786,190,3976,4.78%,160,36,196,18.37%
USA,San Francisco,2610,84,2694,3.12%,97,10,107,9.35%
USA,Washington,1480,83,1563,5.31%,495,38,533,7.13%
USA Gesamt,"",17010,833,17843,4.67%,1286,249,1535,16.22%
Usbekistan,Taschkent,7002,394,7396,5.33%,608,147,755,19.47%
VAE,Abu Dhabi,12409,1225,13634,8.98%,139,59,198,29.80%
VAE,Dubai,40970,2553,43523,5.87%,359,57,416,13.70%
VAE Gesamt,"",53379,3778,57157,6.61%,498,116,614,18.89%
Venezuela,Caracas,772,52,824,6.31%,277,76,353,21.53%
Vietnam,Hanoi,5364,576,5940,9.70%,1052,487,1539,31.64%
Vietnam,Ho-Chi-Minh-Stadt,3962,456,4418,10.32%,425,197,622,31.67%
Vietnam Gesamt,"",9326,1032,10358,9.96%,1477,684,2161,31.65%
Weißrussland,Minsk,69642,1400,71042,1.97%,1129,123,1252,9.82%
Zypern,Nikosia,1211,185,1396,13.25%,41,22,63,34.92%
Gesamt,Welt,1509662,148627,1658289,8.96%,139640,28580,168220,16.99%
