Land,AV-Ort,"Schengen gesamt erteilt","Schengen gesamt abgelehnt","Schengen gesamt zurückgezogen","Schengen gesamt bearbeitet","Schengen Ablehnungsquote","D gesamt erteilt","D gesamt abgelehnt","D gesamt zurückgezogen","D gesamt bearbeitet","D Ablehnungsquote"
Dänemark,Kopenhagen,0,0,0,0,na,238,24,5,267,"8.99%"
Dominikanische Republik,"Santo Domingo",2460,739,2,3201,"23.09%",376,114,2,492,"23.17%"
Ecuador,Quito,4420,659,29,5108,"12.90%",649,76,18,743,"10.23%"
El Salvador,San Salvador,6,0,0,6,"0.00%",39,1,0,40,"2.50%"
Estland,Tallinn,3,0,0,3,"0.00%",44,2,3,49,"4.08%"
Finnland,Helsinki,0,0,0,0,na,213,4,17,234,"1.71%"
Frankreich,Paris,8,0,0,8,"0.00%",1033,39,0,1072,"3.64%"
Georgien,Tiflis,4073,371,49,4493,"8.26%",1761,162,17,1940,"8.35%"
Ghana,Accra,4194,2114,21,6329,"33.40%",845,324,34,1203,"26.93%"
Griechenland,Athen,6,0,0,6,"0.00%",1030,95,10,1135,"8.37%"
Großbritannien,Edinburgh,2916,22,39,2977,"0.74%",92,2,5,99,"2.02%"
Großbritannien,London,23992,362,70,24424,"1.48%",996,24,7,1027,"2.34%"
Gesamt Großbritannien,"",26908,384,109,27401,"1.40%",1088,26,12,1126,"2.31%"
Guatemala,"Guatemala-Stadt",99,1,3,103,"0.97%",139,1,3,143,"0.70%"
Guinea,Conakry,1401,1327,15,2743,"48.38%",245,86,13,344,"25.00%"
Honduras,Tegucigalpa,13,0,0,13,"0.00%",26,2,0,28,"7.14%"
Indien,Bangalore,29200,2281,23,31504,"7.24%",9241,216,82,9539,"2.26%"
Indien,Chennai,19181,1404,0,20585,"6.82%",5785,483,43,6311,"7.65%"
Indien,Kalkutta,6473,411,16,6900,"5.96%",995,63,16,1074,"5.87%"
Indien,Mumbai,51766,1755,196,53717,"3.27%",5396,682,105,6183,"11.03%"
Indien,New Delhi,37312,4690,70,42072,"11.15%",4518,500,45,5063,"9.88%"
Gesamt Indien,"",143932,10541,305,154778,"6.81%",25935,1944,291,28170,"6.90%"
Indonesien,Jakarta,26039,180,43,26262,"0.69%",3176,294,48,3518,"8.36%"
Irak,Bagdad,3661,1064,35,4760,"22.35%",108,16,7,131,"12.21%"
Irak,Erbil,11435,10630,182,22247,"47.78%",7435,1094,91,8620,"12.69%"
Gesamt Irak,"",15096,11694,217,27007,"43.30%",7543,1110,98,8751,"12.68%"
Iran,Teheran,45082,7144,292,52518,"13.60%",4651,814,121,5586,"14.57%"
Irland,Dublin,1192,57,7,1256,"4.54%",87,6,3,96,"6.25%"
Island,Reykjavik,1,0,0,1,"0.00%",0,0,0,0,na
Israel,Tel Aviv,967,5,40,1012,"0.49%",398,60,26,484,"12.40%"
Italien,Rom,30,1,0,31,"3.23%",902,207,30,1139,"18.17%"
Jamaika,Kingston,1213,76,17,1306,"5.82%",58,2,0,60,"3.33%"
Japan,Osaka-Kobe,772,22,10,804,"2.74%",395,0,20,415,"0.00%"
Japan,Tokyo,1583,0,8,1591,"0.00%",678,4,18,700,"0.57%"
Gesamt Japan,"",2355,22,18,2395,"0.92%",1073,4,38,1115,"0.36%"
Jordanien,Amman,8529,939,40,9508,"9.88%",3977,900,78,4955,"18.16%"
Kambodscha,Phnom Penh,2354,121,3,2478,"4.88%",80,13,1,94,"13.83%"
Kamerun,Jaunde,3044,1615,44,4703,"34.34%",851,585,24,1460,"40.07%"
Kanada,Toronto,2153,39,32,2224,"1.75%",971,18,31,1020,"1.76%"
Kanada,Vancouver,0,0,0,0,na,0,0,0,0,na
Gesamt Kanada,"",2153,39,32,2224,"1.75%",971,18,31,1020,"1.76%"
Kasachstan,Almaty,18114,608,29,18751,"3.24%",1019,68,7,1094,"6.22%"
Kasachstan,Astana,19363,567,100,20030,"2.83%",2795,73,18,2886,"2.53%"
Gesamt Kasachstan,"",37477,1175,129,38781,"3.03%",3814,141,25,3980,"3.54%"
Katar,Doha,20577,976,49,21602,"4.52%",187,48,18,253,"18.97%"
Kenia,Nairobi,4861,788,47,5696,"13.83%",1057,322,15,1394,"23.10%"
Kirgisistan,Bischkek,8144,449,74,8667,"5.18%",623,99,11,733,"13.51%"
Kolumbien,Bogotá,117,3,2,122,"2.46%",2763,130,52,2945,"4.41%"
Kongo,Kinshasa,133,1,0,134,"0.75%",75,0,2,77,"0.00%"
Korea,Seoul,711,134,13,858,"15.62%",3087,43,43,3173,"1.36%"
"Korea, DVR",Pjöngjang,93,49,12,154,"31.82%",10,3,0,13,"23.08%"
Kosovo,Pristina,23741,6097,28,29866,"20.41%",11960,6358,308,18626,"34.14%"
Kroatien,Zagreb,200,2,2,204,"0.98%",60,20,1,81,"24.69%"
Kuba,Havanna,3451,885,21,4357,"20.31%",492,70,8,570,"12.28%"
Kuwait,Kuwait,47889,2236,83,50208,"4.45%",151,132,8,291,"45.36%"
Laos,Vientiane,1634,18,1,1653,"1.09%",25,2,1,28,"7.14%"
Lettland,Riga,0,0,0,0,na,166,28,4,198,"14.14%"
Libanon,Beirut,8433,2157,23,10613,"20.32%",21147,3170,72,24389,"13.00%"
Litauen,Wilna,1,0,0,1,"0.00%",80,2,1,83,"2.41%"
Luxemburg,Luxemburg,1,0,0,1,"0.00%",66,2,0,68,"2.94%"
Malaysia,Kuala Lumpur,688,49,9,746,"6.57%",973,99,25,1097,"9.02%"
Mali,Bamako,755,255,0,1010,"25.25%",57,7,1,65,"10.77%"
Malta,Valletta,1,0,0,1,"0.00%",21,12,1,34,"35.29%"
Marokko,Rabat,12794,4696,9,17499,"26.84%",2837,1009,20,3866,"26.10%"
Mauretanien,Nouakchott,767,207,7,981,"21.10%",33,5,0,38,"13.16%"
Mazedonien,Skopje,168,0,2,170,"0.00%",7470,998,26,8494,"11.75%"
Mexiko,Mexiko-Stadt,303,1,3,307,"0.33%",4629,138,57,4824,"2.86%"
Moldau,Chisinau,211,6,6,223,"2.69%",317,25,20,362,"6.91%"
Mongolei,Ulan Bator,9210,1265,82,10557,"11.98%",534,89,21,644,"13.82%"
Montenegro,Podgorica,291,26,0,317,"8.20%",1288,262,8,1558,"16.82%"
Mosambik,Maputo,994,76,6,1076,"7.06%",63,4,1,68,"5.88%"
Myanmar,Rangun,4309,94,10,4413,"2.13%",85,2,5,92,"2.17%"
Namibia,Windhuk,4932,30,75,5037,"0.60%",94,12,15,121,"9.92%"
Nepal,Kathmandu,4180,1067,12,5259,"20.29%",1004,605,20,1629,"37.14%"
Neuseeland,Wellington,410,9,5,424,"2.12%",213,9,7,229,"3.93%"
Nicaragua,Managua,13,0,0,13,"0.00%",108,2,1,111,"1.80%"
Niederlande,Amsterdam,15,0,0,15,"0.00%",578,2,12,592,"0.34%"
Nigeria,Abuja,1089,23,21,1133,"2.03%",67,0,5,72,"0.00%"
Nigeria,Lagos,5626,5656,8,11290,"50.10%",1041,280,54,1375,"20.36%"
Gesamt Nigeria,"",6715,5679,29,12423,"45.71%",1108,280,59,1447,"19.35%"
Norwegen,Oslo,0,0,0,0,na,59,0,2,61,"0.00%"
Oman,Maskat,9105,315,10,9430,"3.34%",509,16,3,528,"3.03%"
Österreich,Wien,26,0,0,26,"0.00%",803,49,12,864,"5.67%"
Pakistan,Islamabad,5709,2820,94,8623,"32.70%",2481,688,45,3214,"21.41%"
Pakistan,Karachi,9498,1966,146,11610,"16.93%",767,56,21,844,"6.64%"
Gesamt Pakistan,"",15207,4786,240,20233,"23.65%",3248,744,66,4058,"18.33%"
Palästinensische Gebiete,Ramallah,4154,341,38,4533,"7.52%",653,235,37,925,"25.41%"
Panama,Panama,58,7,3,68,"10.29%",91,3,3,97,"3.09%"
Paraguay,Asunción,21,0,0,21,"0.00%",203,5,8,216,"2.31%"
Peru,Lima,43,0,8,51,"0.00%",897,61,93,1051,"5.80%"
Philippinen,Manila,16161,1488,22,17671,"8.42%",2319,466,46,2831,"16.46%"
Polen,Warschau,14,0,0,14,"0.00%",955,130,27,1112,"11.69%"
Portugal,Lissabon,2,0,0,2,"0.00%",82,0,0,82,"0.00%"
Ruanda,Kigali,100,3,11,114,"2.63%",128,12,9,149,"8.05%"
Rumänien,Bukarest,586,49,11,646,"7.59%",112,31,5,148,"20.95%"
Russische Föderation,Jekaterinburg,28148,832,41,29021,"2.87%",1107,101,16,1224,"8.25%"
Russische Föderation,Kaliningrad,27380,557,25,27962,"1.99%",608,19,6,633,"3.00%"
Russische Föderation,Moskau,182946,4708,662,188316,"2.50%",7063,550,143,7756,"7.09%"
Russische Föderation,Nowosibirsk,34810,617,25,35452,"1.74%",2035,85,6,2126,"4.00%"
Russische Föderation,St Petersburg,20198,124,17,20339,"0.61%",1873,63,20,1956,"3.22%"
Gesamt Russische Föderation,"",293482,6838,770,301090,"2.27%",12686,818,191,13695,"5.97%"
Sambia,Lusaka,940,58,30,1028,"5.64%",100,10,3,113,"8.85%"
Saudi-Arabien,Djidda,17419,101,162,17682,"0.57%",135,23,21,179,"12.85%"
Saudi-Arabien,Riad,46763,2621,268,49652,"5.28%",970,383,54,1407,"27.22%"
Gesamt Saudi-Arabien,"",64182,2722,430,67334,"4.04%",1105,406,75,1586,"25.60%"
Schweden,Stockholm,3,0,0,3,"0.00%",230,18,4,252,"7.14%"
Schweiz,Bern,18,0,2,20,"0.00%",504,21,23,548,"3.83%"
Senegal,Dakar,1769,1013,6,2788,"36.33%",439,128,5,572,"22.38%"
Serbien,Belgrad,1149,48,5,1202,"3.99%",12653,1887,67,14607,"12.92%"
Simbabwe,Harare,1233,205,20,1458,"14.06%",361,33,20,414,"7.97%"
Singapur,Singapur,4720,45,10,4775,"0.94%",1108,31,13,1152,"2.69%"
Slowakei,Pressburg,0,0,0,0,na,34,8,3,45,"17.78%"
Slowenien,Laibach,0,0,4,4,"0.00%",382,216,36,634,"34.07%"
Spanien,Madrid,70,2,3,75,"2.67%",420,8,7,435,"1.84%"
Sri Lanka,Colombo,6337,1178,28,7543,"15.62%",501,152,15,668,"22.75%"
Südafrika,Kapstadt,11123,123,46,11292,"1.09%",392,18,18,428,"4.21%"
Südafrika,Pretoria,20139,240,52,20431,"1.17%",817,57,26,900,"6.33%"
Gesamt Südafrika,"",31262,363,98,31723,"1.14%",1209,75,44,1328,"5.65%"
Sudan,Khartum,1943,414,29,2386,"17.35%",434,151,14,599,"25.21%"
Tadschikistan,Duschanbe,3428,431,167,4026,"10.71%",538,41,51,630,"6.51%"
Taiwan,Taipei,240,33,13,286,"11.54%",2030,219,95,2344,"9.34%"
Tansania,Daressalam,2459,112,29,2600,"4.31%",816,125,14,955,"13.09%"
Thailand,Bangkok,56896,1522,74,58492,"2.60%",3602,250,37,3889,"6.43%"
Togo,Lomé,974,370,16,1360,"27.21%",392,94,5,491,"19.14%"
Trinidad und Tobago,Port-of-Spain,289,13,5,307,"4.23%",43,8,0,51,"15.69%"
Tschechische Republik,Prag,1,0,0,1,"0.00%",426,29,3,458,"6.33%"
Tunesien,Tunis,16782,4166,149,21097,"19.75%",3272,1577,50,4899,"32.19%"
Türkei,Ankara,64090,10492,101,74683,"14.05%",17988,4578,110,22676,"20.19%"
Türkei,Istanbul,114653,13551,232,128436,"10.55%",22528,3527,595,26650,"13.23%"
Türkei,Izmir,36884,2488,105,39477,"6.30%",5675,806,118,6599,"12.21%"
Gesamt Türkei,"",215627,26531,438,242596,"10.94%",46191,8911,823,55925,"15.93%"
Turkmenistan,Aschgabat,3761,101,21,3883,"2.60%",92,15,2,109,"13.76%"
Uganda,Kampala,2979,297,33,3309,"8.98%",296,80,6,382,"20.94%"
Ukraine,Kiew,52987,1448,189,54624,"2.65%",8227,1239,115,9581,"12.93%"
Ungarn,Budapest,8,0,7,15,"0.00%",108,32,5,145,"22.07%"
Uruguay,Montevideo,9,0,0,9,"0.00%",121,5,6,132,"3.79%"
USA,Atlanta,1149,16,10,1175,"1.36%",198,6,15,219,"2.74%"
USA,Boston,1620,6,2,1628,"0.37%",231,4,4,239,"1.67%"
USA,Chicago,2677,8,40,2725,"0.29%",463,1,16,480,"0.21%"
USA,Houston,1556,38,25,1619,"2.35%",162,6,12,180,"3.33%"
USA,Los Angeles,1312,4,27,1343,"0.30%",80,0,17,97,"0.00%"
USA,Miami,764,8,17,789,"1.01%",178,6,5,189,"3.17%"
USA,New York,3744,88,28,3860,"2.28%",556,11,19,586,"1.88%"
USA,San Francisco,3094,21,24,3139,"0.67%",268,1,30,299,"0.33%"
USA,Washington,1166,35,74,1275,"2.75%",659,6,53,718,"0.84%"
Gesamt USA,"",17082,224,247,17553,"1.28%",2795,41,171,3007,"1.36%"
Usbekistan,Taschkent,9085,573,27,9685,"5.92%",577,65,29,671,"9.69%"
VAE,Abu Dhabi,3096,213,58,3367,"6.33%",134,12,13,159,"7.55%"
VAE,Dubai,22273,4123,136,26532,"15.54%",1087,330,34,1451,"22.74%"
Gesamt VAE,"",25369,4336,194,29899,"14.50%",1221,342,47,1610,"21.24%"
Venezuela,Caracas,47,6,0,53,"11.32%",538,51,7,596,"8.56%"
Vietnam,Hanoi,9061,1784,32,10877,"16.40%",2690,639,34,3363,"19.00%"
Vietnam,"Ho-Chi-Minh-
Stadt",7198,835,40,8073,"10.34%",1115,125,49,1289,"9.70%"
Gesamt Vietnam,"",16259,2619,72,18950,"13.82%",3805,764,83,4652,"16.42%"
Weißrussland,Minsk,36222,276,19,36517,"0.76%",1264,108,12,1384,"7.80%"
Zypern,Nikosia,1658,151,9,1818,"8.31%",46,3,1,50,"6.00%"
Gesamt,Welt,1894433,156589,6384,2057406,"7.61%",305802,48756,5133,359691,"13.55%"
