Land,AV-Ort,Schengen gesamt erteilt,Schengen gesamt abgelehnt,Schengen gesamt bearbeitet,Schengen Ablehnungsquote,D gesamt erteilt,D gesamt abgelehnt,D gesamt bearbeitet,D Ablehnungsquote
Kuwait,Kuwait,19222,380,19602,1.94%,102,56,158,35.44%
Laos,Vientiane,623,30,653,4.59%,52,3,55,5.45%
Lettland,Riga,1,4,5,80.00%,117,13,130,10.00%
Libanon,Beirut,5030,705,5735,12.29%,674,174,848,20.52%
Libyen,Tripolis,1137,20,1157,1.73%,5,7,12,58.33%
Litauen,Wilna,1,1,2,50.00%,28,6,34,17.65%
Luxemburg,Luxemburg,0,0,0,na,48,4,52,7.69%
Madagaskar,Antananarivo,968,277,1245,22.25%,209,49,258,18.99%
Malawi,Lilongwe,1223,63,1286,4.90%,26,16,42,38.10%
Malaysia,Kuala Lumpur,505,135,640,21.09%,652,58,710,8.17%
Mali,Bamako,579,409,988,41.40%,65,16,81,19.75%
Malta,Valletta,15,0,15,0.00%,160,64,224,28.57%
Marokko,Rabat,9837,1768,11605,15.23%,2385,634,3019,21.00%
Mauretanien,Nouakchott,463,119,582,20.45%,71,9,80,11.25%
Mexiko,Mexiko-Stadt,269,25,294,8.50%,3089,195,3284,5.94%
Moldau,Chisinau,6654,387,7041,5.50%,525,40,565,7.08%
Mongolai,Ulan Bator,7135,282,7417,3.80%,349,66,415,15.90%
Montenegro,Podgorica,92,20,112,17.86%,112,26,138,18.84%
Mosambik,Maputo,704,106,810,13.09%,61,5,66,7.58%
Myanmar,Rangun,1406,46,1452,3.17%,439,10,449,2.23%
Namibia,Windhuk,4898,96,4994,1.92%,115,24,139,17.27%
Nepal,Kathmandu,2083,798,2881,27.70%,512,182,694,26.22%
Neuseeland,Wellington,376,7,383,1.83%,236,4,240,1.67%
Nicaragua,Managua,12,0,12,0.00%,56,8,64,12.50%
Niederlande,Amsterdam,59,3,62,4.84%,490,76,566,13.43%
Nigeria,Abuja,1352,133,1485,8.96%,50,3,53,5.66%
Nigeria,Lagos,8916,9219,18135,50.84%,668,181,849,21.32%
Nigeria Gesamt,"",10268,9352,19620,47.67%,718,184,902,20.40%
Norwegen,Oslo,0,0,0,na,28,6,34,17.65%
Oman,Maskat,5322,25,5347,0.47%,182,5,187,2.67%
Österreich,Wien,22,5,27,18.52%,634,73,707,10.33%
Pakistan,Islamabad,5510,1960,7470,26.24%,1341,411,1752,23.46%
Pakistan,Karachi,7084,709,7793,9.10%,271,21,292,7.19%
Pakistan Gesamt,"",12594,2669,15263,17.49%,1612,432,2044,21.14%
Palästinensische Gebiete,Ramallah,2367,292,2659,10.98%,410,96,506,18.97%
Panama,Panama,144,3,147,2.04%,72,9,81,11.11%
Paraguay,Asuncion,21,5,26,19.23%,139,20,159,12.58%
Peru,Lima,5888,343,6231,5.50%,629,89,718,12.40%
Philippinen,Manila,10404,871,11275,7.73%,8065,330,8395,3.93%
Polen,Warschau,12,0,12,0.00%,140,29,169,17.16%
Portugal,Lissabon,7,2,9,22.22%,120,5,125,4.00%
Ruanda,Kigali,1258,203,1461,13.89%,76,7,83,8.43%
Rumänien,Bukarest,315,38,353,10.76%,34,19,53,35.85%
Russische Föderation,Jekaterinburg,37869,231,38100,0.61%,1076,74,1150,6.43%
Russische Föderation,Kaliningrad,21298,598,21896,2.73%,551,44,595,7.39%
Russische Föderation,Moskau,240115,6505,246620,2.64%,6671,910,7581,12.00%
Russische Föderation,Nowosibirsk,47256,476,47732,1.00%,1921,185,2106,8.78%
Russische Föderation,St Petersburg,28884,718,29602,2.43%,2103,234,2337,10.01%
Russische Föderation Gesamt,"",375422,8528,383950,2.22%,12322,1447,13769,10.51%
Sambia,Lusaka,683,44,727,6.05%,46,4,50,8.00%
Saudi-Arabien,Riad,23187,778,23965,3.25%,726,128,854,14.99%
Schweden,Stockholm,1,0,1,0.00%,288,48,336,14.29%
Schweiz,Bern,0,1,1,100.00%,319,72,391,18.41%
Senegal,Dakar,1776,924,2700,34.22%,279,65,344,18.90%
Serbien,Belgrad,1812,97,1909,5.08%,3289,722,4011,18.00%
Simbabwe,Harare,852,18,870,2.07%,106,13,119,10.92%
Singapur,Singapur,3407,99,3506,2.82%,884,53,937,5.66%
Slowakei,Pressburg,0,0,0,na,7,4,11,36.36%
Slowenien,Laibach,4,0,4,0.00%,3970,49,4019,1.22%
Spanien,Madrid,11,0,11,0.00%,339,65,404,16.09%
Sri Lanka,Colombo,3537,1044,4581,22.79%,578,100,678,14.75%
Südafrika,Kapstadt,10123,64,10187,0.63%,272,25,297,8.42%
Südafrika,Pretoria,21428,149,21577,0.69%,427,45,472,9.53%
Südafrika Gesamt,"",31551,213,31764,0.67%,699,70,769,9.10%
Sudan,Khartum,1242,589,1831,32.17%,140,36,176,20.45%
Syrien,Damaskus,2991,2033,5024,40.47%,1939,609,2548,23.90%
Tadschikistan,Duschanbe,2568,92,2660,3.46%,146,22,168,13.10%
Taiwan,Taipei,225,6,231,2.60%,1173,63,1236,5.10%
Tansania,Daressalam,1696,93,1789,5.20%,205,22,227,9.69%
Thailand,Bangkok,31305,1948,33253,5.86%,2895,310,3205,9.67%
Togo,Lome,626,133,759,17.52%,210,124,334,37.13%
Trinidad und Tobago,Port-of-Spain,1303,21,1324,1.59%,41,8,49,16.33%
Tschechische Republik,Prag,10,2,12,16.67%,209,51,260,19.62%
Tunesien,Tunis,8531,1590,10121,15.71%,1474,430,1904,22.58%
Türkei,Ankara,39430,7510,46940,16.00%,8285,2125,10410,20.41%
Türkei,Istanbul,76632,6144,82776,7.42%,4894,1164,6058,19.21%
Türkei,Izmir,24078,1399,25477,5.49%,2424,427,2851,14.98%
Türkei Gesamt,"",140140,15053,155193,9.70%,15603,3716,19319,19.23%
Turkmenistan,Aschgabat,2696,87,2783,3.13%,144,22,166,13.25%
Uganda,Kampala,1530,485,2015,24.07%,154,41,195,21.03%
Ukraine,Kiew,99258,5927,105185,5.63%,6397,845,7242,11.67%
Ungarn,Budapest,12,7,19,36.84%,51,12,63,19.05%
Uruguay,Montevideo,9,1,10,10.00%,21,0,21,0.00%
USA,Atlanta,1153,182,1335,13.63%,94,43,137,31.39%
USA,Boston,1266,9,1275,0.71%,90,1,91,1.10%
USA,Chicago,2158,126,2284,5.52%,226,35,261,13.41%
USA,Houston,1273,59,1332,4.43%,90,33,123,26.83%
USA,Los Angeles,1864,133,1997,6.66%,139,54,193,27.98%
USA,Miami,1501,20,1521,1.31%,57,5,62,8.06%
USA,New York,3527,258,3785,6.82%,256,56,312,17.95%
USA,San Francisco,2327,134,2461,5.44%,97,26,123,21.14%
USA,Washington,1232,25,1257,1.99%,554,12,566,2.12%
USA Gesamt,"",16301,946,17247,5.49%,1603,265,1868,14.19%
Usbekistan,Taschkent,7443,709,8152,8.70%,669,173,842,20.55%
VAE,Abu Dhabi,21188,1914,23102,8.28%,203,43,246,17.48%
VAE,Dubai,47525,3691,51216,7.21%,259,89,348,25.57%
VAE Gesamt,"",68713,5605,74318,7.54%,462,132,594,22.22%
Venezuela,Caracas,828,67,895,7.49%,325,52,377,13.79%
Vietnam,Hanoi,7683,249,7932,3.14%,1140,309,1449,21.33%
Vietnam,Ho-Chi-Minh-Stadt,4851,389,5240,7.42%,558,119,677,17.58%
Vietnam Gesamt,"",12534,638,13172,4.84%,1698,428,2126,20.13%
Weißrussland,Minsk,69157,452,69609,0.65%,1221,100,1321,7.57%
Zypern,Nikosia,1584,124,1708,7.26%,46,7,53,13.21%
Gesamt,Welt,1621745,119162,1740907,6.84%,162258,24822,187080,13.27%
