Land,AV-Ort,"Schengen gesamt erteilt","Schengen gesamt abgelehnt","Schengen gesamt zurückgezogen","Schengen gesamt bearbeitet","Schengen Ablehnungsquote","D gesamt erteilt","D gesamt abgelehnt","D gesamt zurückgezogen","D gesamt bearbeitet","D Ablehnungsquote"
Montenegro,Podgorica,263,11,2,276,"3.99%",1013,126,4,1143,"11.02%"
Mosambik,Maputo,980,80,16,1076,"7.43%",45,11,1,57,"19.30%"
Myanmar,Rangun,3310,44,8,3362,"1.31%",80,4,1,85,"4.71%"
Namibia,Windhuk,5367,42,121,5530,"0.76%",103,9,14,126,"7.14%"
Nepal,Kathmandu,3922,952,30,4904,"19.41%",1063,309,31,1403,"22.02%"
Neuseeland,Wellington,341,3,5,349,"0.86%",184,2,5,191,"1.05%"
Nicaragua,Managua,8,1,0,9,"11.11%",109,6,2,117,"5.13%"
Niederlande,Amsterdam,34,0,0,34,"0.00%",616,6,5,627,"0.96%"
Nigeria,Abuja,914,4,6,924,"0.43%",87,5,9,101,"4.95%"
Nigeria,Lagos,6285,5181,7,11473,"45.16%",947,553,70,1570,"35.22%"
Gesamt Nigeria,,7199,5185,13,12397,"41.82%",1034,558,79,1671,"33.39%"
Norwegen,Oslo,0,0,0,0,na,52,3,4,59,"5.08%"
Oman,Maskat,9756,475,5,10236,"4.64%",162,20,5,187,"10.70%"
Oesterreich,Wien,21,1,1,23,"4.35%",580,68,14,662,"10.27%"
Pakistan,Islamabad,5612,2530,74,8216,"30.79%",2770,460,36,3266,"14.08%"
Pakistan,Karachi,7903,1895,186,9984,"18.98%",617,60,10,687,"8.73%"
Gesamt Pakistan,,13515,4425,260,18200,"24.31%",3387,520,46,3953,"13.15%"
Palaestinensische Gebiete,Ramallah,3808,165,52,4025,"4.10%",776,202,24,1002,"20.16%"
Panama,Panama,55,1,2,58,"1.72%",63,2,2,67,"2.99%"
Paraguay,Asuncion,22,0,0,22,"0.00%",195,6,9,210,"2.86%"
Peru,Lima,1252,31,29,1312,"2.36%",800,63,35,898,"7.02%"
Philippinen,Manila,14757,1385,34,16176,"8.56%",2228,322,61,2611,"12.33%"
Polen,Warschau,23,2,6,31,"6.45%",621,79,7,707,"11.17%"
Portugal,Lissabon,0,0,0,0,na,93,0,0,93,"0.00%"
Ruanda,Kigali,42,0,0,42,"0.00%",129,12,3,144,"8.33%"
Rumaenien,Bukarest,580,28,6,614,"4.56%",97,14,3,114,"12.28%"
Russische Foederation,Jekaterinburg,25687,502,69,26258,"1.91%",1079,82,20,1181,"6.94%"
Russische Foederation,Kaliningrad,25045,419,23,25487,"1.64%",490,18,15,523,"3.44%"
Russische Foederation,Moskau,162626,3651,1064,167341,"2.18%",7448,501,143,8092,"6.19%"
Russische Foederation,Nowosibirsk,26628,595,19,27242,"2.18%",2074,78,15,2167,"3.60%"
Russische Foederationn,St Petersburg,17883,92,19,17994,"0.51%",1884,57,19,1960,"2.91%"
Gesamt Russische Foederation,,257869,5259,1194,264322,"1.99%",12975,736,212,13923,"5.29%"
Sambia,Lusaka,747,31,11,789,"3.93%",95,2,4,101,"1.98%"
Saudi-Arabien,Djidda,15461,122,85,15668,"0.78%",185,11,15,211,"5.21%"
Saudi-Arabien,Riad,45622,3507,224,49353,"7.11%",877,386,34,1297,"29.76%"
Gesamt Saudi-Arabien,,61083,3629,309,65021,"5.58%",1062,397,49,1508,"26.33%"
Schweden,Stockholm,0,0,0,0,na,198,7,7,212,"3.30%"
Schweiz,Bern,16,0,2,18,"0.00%",480,36,50,566,"6.36%"
Senegal,Dakar,1615,904,18,2537,"35.63%",374,84,2,460,"18.26%"
Serbien,Belgrad,1027,21,2,1050,"2.00%",10352,1154,56,11562,"9.98%"
Simbabwe,Harare,1077,147,23,1247,"11.79%",215,14,10,239,"5.86%"
Singapur,Singapur,4231,58,14,4303,"1.35%",1035,41,14,1090,"3.76%"
Slowakei,Pressburg,0,0,0,0,na,18,1,0,19,"5.26%"
Slowenien,Laibach,6,0,2,8,"0.00%",1807,707,76,2590,"27.30%"
Spanien,Madrid,99,4,3,106,"3.77%",402,4,21,427,"0.94%"
Sri Lanka,Colombo,6181,883,37,7101,"12.43%",441,101,6,548,"18.43%"
Suedafrika,Kapstadt,9584,72,34,9690,"0.74%",352,18,4,374,"4.81%"
Suedafrika,Pretoria,18871,214,46,19131,"1.12%",636,62,24,722,"8.59%"
Gesamt Suedafrika,,28455,286,80,28821,"0.99%",988,80,28,1096,"7.30%"
Sudan,Khartum,1570,116,8,1694,"6.85%",313,62,2,377,"16.45%"
Tadschikistan,Duschanbe,3367,219,129,3715,"5.90%",424,45,25,494,"9.11%"
Taiwan,Taipei,208,23,15,246,"9.35%",1921,2,68,1991,"0.10%"
Tansania,Daressalam,2258,84,28,2370,"3.54%",1125,36,10,1171,"3.07%"
Thailand,Bangkok,53435,1414,45,54894,"2.58%",3266,215,59,3540,"6.07%"
Togo,Lome,796,227,4,1027,"22.10%",306,54,10,370,"14.59%"
Trinidad und Tobago,Port-of-Spain,198,24,0,222,"10.81%",50,6,1,57,"10.53%"
Tschechische Republik,Prag,1,0,0,1,"0.00%",329,22,1,352,"6.25%"
Tunesien,Tunis,16993,2686,108,19787,"13.57%",3482,1386,59,4927,"28.13%"
Tuerkei,Ankara,62814,6140,107,69061,"8.89%",16933,2202,138,19273,"11.43%"
Tuerkei,Istanbul,118025,8128,230,126383,"6.43%",20298,1399,312,22009,"6.36%"
Tuerkei,Izmir,37565,1661,79,39305,"4.23%",5809,441,60,6310,"6.99%"
Gesamt Tuerkei,,218404,15929,416,234749,"6.79%",43040,4042,510,47592,"8.49%"
Turkmenistan,Aschgabat,3574,119,26,3719,"3.20%",89,22,4,115,"19.13%"
Uganda,Kampala,2273,282,47,2602,"10.84%",249,63,5,317,"19.87%"
Ukraine,Kiew,98834,5424,237,104495,"5.19%",8508,1018,111,9637,"10.56%"
Ungarn,Budapest,0,0,0,0,na,94,17,5,116,"14.66%"
Uruguay,Montevideo,12,1,2,15,"6.67%",82,1,3,86,"1.16%"
USA,Atlanta,1317,13,18,1348,"0.96%",201,4,13,218,"1.83%"
USA,Boston,1599,4,2,1605,"0.25%",181,3,7,191,"1.57%"
USA,Chicago,2805,9,40,2854,"0.32%",329,3,16,348,"0.86%"
USA,Houston,1573,53,17,1643,"3.23%",167,4,9,180,"2.22%"
USA,Los Angeles,1723,10,20,1753,"0.57%",178,9,15,202,"4.46%"
USA,Miami,787,3,14,804,"0.37%",70,1,7,78,"1.28%"
USA,New York,3164,79,30,3273,"2.41%",356,3,19,378,"0.79%"
USA,San Francisco,2790,16,13,2819,"0.57%",205,2,17,224,"0.89%"
USA,Washington,1240,32,47,1319,"2.43%",644,1,17,662,"0.15%"
Gesamt USA,,16998,219,201,17418,"1.26%",2331,30,120,2481,"1.21%"
Usbekistan,Taschkent,8355,403,21,8779,"4.59%",505,39,18,562,"6.94%"
VAE,Abu Dhabi,5596,564,57,6217,"9.07%",448,205,28,681,"30.10%"
VAE,Dubai,22586,4201,180,26967,"15.58%",779,316,11,1106,"28.57%"
Gesamt VAE,,28182,4765,237,33184,"14.36%",1227,521,39,1787,"29.16%"
Venezuela,Caracas,183,32,0,215,"14.88%",499,27,0,526,"5.13%"
Vietnam,Hanoi,8156,1403,34,9593,"14.63%",2502,607,79,3188,"19.04%"
Vietnam,Ho-Chi-Minh- Stadt,7730,674,50,8454,"7.97%",1205,334,44,1583,"21.10%"
Gesamt Vietnam,,15886,2077,84,18047,"11.51%",3707,941,123,4771,"19.72%"
Weissrussland,Minsk,40991,218,31,41240,"0.53%",1397,101,16,1514,"6.67%"
Zypern,Nikosia,1748,213,6,1967,"10.83%",26,13,6,45,"28.89%"
Gesamt,Welt,1883867,122657,6501,2013025,"6.09%",278252,33540,4571,316363,"10.60%"
