Land,AV-Ort,"Schengen gesamt erteilt","Schengen gesamt abgelehnt","Schengen gesamt zurückgezogen","Schengen gesamt bearbeitet","Schengen Ablehnungsquote","D gesamt erteilt","D gesamt abgelehnt","D gesamt zurückgezogen","D gesamt bearbeitet","D Ablehnungsquote"
Schweden,Stock holm,1,0,0,1,"0.00%",178,20,6,204,"9.80%"
Schweiz,Bern,4,0,0,4,"0.00%",424,13,49,486,"2.67%"
Senegal,Dakar,1883,1035,17,2935,"35.26%",319,131,2,452,"28.98%"
Serbien,Belgrad,1577,28,32,1637,"1.71%",4386,715,122,5223,"13.69%"
Sim babwe,Harare,1056,31,24,1111,"2.79%",123,14,7,144,"9.72%"
Singapur,Singapur,3582,35,41,3658,"0.96%",968,26,42,1036,"2.51%"
Slowakei,Pressburg,0,0,0,0,na,15,1,0,16,"6.25%"
Slowenien,Laibach,1,0,0,1,"0.00%",4887,114,0,5001,"2.28%"
Spanien,Madrid,6,0,0,6,"0.00%",331,89,16,436,"20.41%"
Sri Lanka,Colombo,4407,669,57,5133,"13.03%",506,72,9,587,"12.27%"
Südafrika,Kapstadt,9798,44,19,9861,"0.45%",317,7,8,332,"2.11%"
Südafrika,Pretoria,19189,101,42,19332,"0.52%",471,42,11,524,"8.02%"
Gesamt Südafrika,"",28987,145,61,29193,"0.50%",788,49,19,856,"5.72%"
Sudan,Khartum,1053,221,26,1300,"17.00%",196,32,1,229,"13.97%"
Tadschik istan,Duschanbe,3483,43,30,3556,"1.21%",255,19,21,295,"6.44%"
Taiwan,Taipei,164,1,4,169,"0.59%",1682,17,52,1751,"0.97%"
Tansania,Daressalam,2478,77,17,2572,"2.99%",470,41,6,517,"7.93%"
Thailand,Bangkok,43148,1315,100,44563,"2.95%",2711,185,15,2911,"6.36%"
Togo,Lomé,708,59,9,776,"7.60%",303,58,7,368,"15.76%"
Trinidad und Tobago,Port-of-Spain,2554,2,2,2558,"0.08%",54,3,0,57,"5.26%"
Tschechische Republik,Prag,7,0,0,7,"0.00%",152,24,2,178,"13.48%"
Tunesien,Tunis,11397,993,120,12510,"7.94%",3150,579,107,3836,"15.09%"
Türkei,Ankara,51740,5921,563,58224,"10.17%",11082,1220,351,12653,"9.64%"
Türkei,Istanbul,101111,4588,231,105930,"4.33%",9471,592,78,10141,"5.84%"
Türkei,Izmir,31748,1130,47,32925,"3.43%",3235,316,46,3597,"8.79%"
Gesamt Türkei,"",184599,11639,841,197079,"5.91%",23788,2128,475,26391,"8.06%"
Turkmenistan,Aschgabat,4210,58,38,4306,"1.35%",117,23,2,142,"16.20%"
Uganda,Kampala,1823,368,20,2211,"16.64%",167,50,5,222,"22.52%"
Ukraine,Kiew,96868,4674,335,101877,"4.59%",7356,642,87,8085,"7.94%"
Ungarn,Budapest,2,0,0,2,"0.00%",72,15,1,88,"17.05%"
Uruguay,Montevideo,15,0,0,15,"0.00%",62,1,0,63,"1.59%"
USA,Atlanta,1275,1,7,1283,"0.08%",165,1,10,176,"0.57%"
USA,Boston,1277,5,2,1284,"0.39%",99,0,3,102,"0.00%"
USA,Chicago,2574,12,28,2614,"0.46%",236,11,18,265,"4.15%"
USA,Houston,1699,25,13,1737,"1.44%",122,5,4,131,"3.82%"
USA,Los Angeles,1721,9,22,1752,"0.51%",166,2,5,173,"1.16%"
USA,Miami,961,2,9,972,"0.21%",41,5,9,55,"9.09%"
USA,New York,3449,16,81,3546,"0.45%",310,9,22,341,"2.64%"
USA,San Francisco,2559,11,21,2591,"0.42%",134,3,11,148,"2.03%"
USA,Washington,956,5,5,966,"0.52%",528,4,3,535,"0.75%"
Gesamt USA,"",16471,86,188,16745,"0.51%",1801,40,85,1926,"2.08%"
Usbekistan,Taschkent,6210,679,69,6958,"9.76%",437,110,12,559,"19.68%"
VAE,Abu Dhabi,25098,921,120,26139,"3.52%",284,33,9,326,"10.12%"
VAE,Dubai,52040,4739,108,56887,"8.33%",444,161,2,607,"26.52%"
Gesamt VAE,"",77138,5660,228,83026,"6.82%",728,194,11,933,"20.79%"
Venezuela,Caracas,846,6,35,887,"0.68%",426,33,24,483,"6.83%"
Vietnam,Hanoi,7401,1095,69,8565,"12.78%",1855,298,49,2202,"13.53%"
Vietnam,"Ho-Chi-Minh-Stadt",5747,630,25,6402,"9.84%",839,127,25,991,"12.82%"
Gesamt Vietnam,"",13148,1725,94,14967,"11.53%",2694,425,74,3193,"13.31%"
Weißrussland,Minsk,69753,178,134,70065,"0.25%",1239,96,16,1351,"7.11%"
Zypern,Nik osia,1411,117,12,1540,"7.60%",31,4,2,37,"10.81%"
Gesamt,Welt,1946847,110537,7861,2065245,"5.35%",207894,21300,4440,233634,"9.12%"
