Land,AV-Ort,"Schengen gesamt erteilt","Schengen gesamt abgelehnt","Schengen gesamt zurückgezogen","Schengen gesamt bearbeitet","Schengen Ablehnungsquote","D gesamt erteilt","D gesamt abgelehnt","D gesamt zurückgezogen","D gesamt bearbeitet","D Ablehnungsquote"
Russische Föderation,Kaliningrad,28200,705,49,28954,"2.43%",613,32,15,660,"4.85%"
Russische Föderation,Moskau,182367,5676,812,188855,"3.01%",7478,428,204,8110,"5.28%"
Russische Föderation,Nowosibirsk,32125,923,25,33073,"2.79%",2196,81,21,2298,"3.52%"
Russische Föderation,St Petersburg,23123,124,16,23263,"0.53%",2074,74,24,2172,"3.41%"
Russische Föderation Gesamt,"",290629,7839,990,299458,"2.62%",13405,713,278,14396,"4.95%"
Sambia,Lusaka,772,22,11,805,"2.73%",68,7,5,80,"8.75%"
Saudi-Arabien,Djidda,18082,107,15,18204,"0.59%",260,41,12,313,"13.10%"
Saudi-Arabien,Riad,55300,1851,247,57398,"3.22%",1006,405,23,1434,"28.24%"
Saudi-Arabien Gesamt,"",73382,1958,262,75602,"2.59%",1266,446,35,1747,"25.53%"
Schweden,Stockholm,0,0,0,0,na,158,16,4,178,"8.99%"
Schweiz,Bern,7,0,1,8,"0.00%",495,46,16,557,"8.26%"
Senegal,Dakar,1594,1138,26,2758,"41.26%",400,89,3,492,"18.09%"
Serbien,Belgrad,1113,41,6,1160,"3.53%",6251,776,58,7085,"10.95%"
Simbabwe,Harare,1128,31,30,1189,"2.61%",182,16,17,215,"7.44%"
Singapur,Singapur,3899,36,13,3948,"0.91%",1062,35,27,1124,"3.11%"
Slowakei,Pressburg,0,0,0,0,na,15,1,0,16,"6.25%"
Slowenien,Laibach,1,0,1,2,"0.00%",5197,300,59,5556,"5.40%"
Spanien,Madrid,49,0,0,49,"0.00%",324,60,13,397,"15.11%"
Sri Lanka,Colombo,4924,780,34,5738,"13.59%",473,83,11,567,"14.64%"
Südafrika,Kapstadt,8697,74,25,8796,"0.84%",273,10,4,287,"3.48%"
Südafrika,Pretoria,20660,180,84,20924,"0.86%",603,14,10,627,"2.23%"
Südafrika Gesamt,"",29357,254,109,29720,"0.85%",876,24,14,914,"2.63%"
Sudan,Khartum,1633,156,22,1811,"8.61%",392,32,2,426,"7.51%"
Tadschikistan,Duschanbe,3731,253,51,4035,"6.27%",321,58,14,393,"14.76%"
Taiwan,Taipei,187,3,11,201,"1.49%",1793,1,62,1856,"0.05%"
Tansania,Daressalam,2460,56,13,2529,"2.21%",577,42,5,624,"6.73%"
Thailand,Bangkok,49019,1180,49,50248,"2.35%",2890,191,27,3108,"6.15%"
Togo,Lomé,900,219,2,1121,"19.54%",277,43,7,327,"13.15%"
Trinidad und Tobago,Port-of-Spain,1012,2,1,1015,"0.20%",46,2,1,49,"4.08%"
Tschechische Republik,Prag,7,4,0,11,"36.36%",253,29,2,284,"10.21%"
Tunesien,Tunis,14381,2293,119,16793,"13.65%",3773,1345,55,5173,"26.00%"
Türkei,Ankara,63595,5256,189,69040,"7.61%",15429,2122,146,17697,"11.99%"
Türkei,Istanbul,111110,5261,206,116577,"4.51%",12075,1152,138,13365,"8.62%"
Türkei,Izmir,35681,1416,50,37147,"3.81%",4028,392,41,4461,"8.79%"
Türkei Gesamt,"",210386,11933,445,222764,"5.36%",31532,3666,325,35523,"10.32%"
Turkmenistan,Aschgabat,4407,178,41,4626,"3.85%",131,17,5,153,"11.11%"
Uganda,Kampala,2472,267,29,2768,"9.65%",255,64,13,332,"19.28%"
Ukraine,Kiew,92079,5835,494,98408,"5.93%",8133,878,112,9123,"9.62%"
Ungarn,Budapest,4,0,0,4,"0.00%",91,12,1,104,"11.54%"
Uruguay,Montevideo,26,0,2,28,"0.00%",92,4,1,97,"4.12%"
USA,Atlanta,1175,9,17,1201,"0.75%",134,7,20,161,"4.35%"
USA,Boston,1531,2,4,1537,"0.13%",141,1,6,148,"0.68%"
USA,Chicago,1821,8,28,1857,"0.43%",213,2,16,231,"0.87%"
USA,Houston,1650,36,22,1708,"2.11%",125,15,7,147,"10.20%"
USA,Los Angeles,1798,4,13,1815,"0.22%",170,8,6,184,"4.35%"
USA,Miami,954,3,8,965,"0.31%",64,1,5,70,"1.43%"
USA,New York,3865,51,109,4025,"1.27%",328,8,19,355,"2.25%"
USA,San Francisco,2999,19,20,3038,"0.63%",136,9,14,159,"5.66%"
USA,Washington,1038,12,8,1058,"1.13%",701,0,6,707,"0.00%"
USA Gesamt,"",16831,144,229,17204,"0.84%",2012,51,99,2162,"2.36%"
Usbekistan,Taschkent,7253,525,27,7805,"6.73%",500,64,12,576,"11.11%"
VAE,Abu Dhabi,11050,1277,78,12405,"10.29%",335,102,18,455,"22.42%"
VAE,Dubai,31220,6295,244,37759,"16.67%",673,277,10,960,"28.85%"
VAE Gesamt,"",42270,7572,322,50164,"15.09%",1008,379,28,1415,"26.78%"
Venezuela,Caracas,479,87,1,567,"15.34%",483,52,5,540,"9.63%"
Vietnam,Hanoi,8253,815,37,9105,"8.95%",2299,613,63,2975,"20.61%"
Vietnam,"Ho-Chi-Minh-Stadt",7667,606,26,8299,"7.30%",1063,163,18,1244,"13.10%"
Vietnam Gesamt,"",15920,1421,63,17404,"8.16%",3362,776,81,4219,"18.39%"
Weißrussland,Minsk,54466,215,93,54774,"0.39%",1357,111,8,1476,"7.52%"
Zypern,Nikosia,1546,146,10,1702,"8.58%",48,9,2,59,"15.25%"
Gesamt,Welt,1911203,114521,7344,2033068,"5.63%",239512,25424,4855,269791,"9.42%"
