Land,AV-Ort,Schengen gesamt erteilt,Schengen gesamt abgelehnt,Schengen gesamt bearbeitet,Schengen Ablehnungsquote,D gesamt erteilt,D gesamt abgelehnt,D gesamt bearbeitet,D Ablehnungsquote
Spanien,Barcelona,5,2,7,28.57%,146,28,174,16.09%
Spanien,Madrid,33,0,33,0.00%,152,20,172,11.63%
Spanien Gesamt,"",38,2,40,5.00%,298,48,346,13.87%
Sri Lanka,Colombo,4496,2035,6531,31.16%,448,119,567,20.99%
Südafrika,Kapstadt,9714,102,9816,1.04%,270,44,314,14.01%
Südafrika,Pretoria,22608,151,22759,0.66%,433,50,483,10.35%
Südafrika Gesamt,"",32322,253,32575,0.78%,703,94,797,11.79%
Sudan,Khartum,2206,1144,3350,34.15%,199,125,324,38.58%
Syrien,Damaskus,5706,1462,7168,20.40%,1464,451,1915,23.55%
Tadschikistan,Duschanbe,1883,225,2108,10.67%,111,20,131,15.27%
Taiwan,Taipei,51390,150,51540,0.29%,897,71,968,7.33%
Tansania,Daressalam,1846,125,1971,6.34%,79,11,90,12.22%
Thailand,Bangkok,28110,2410,30520,7.90%,2639,487,3126,15.58%
Togo,Lome,449,139,588,23.64%,221,126,347,36.31%
Trinidad und Tobago,Port-of-Spain,1749,19,1768,1.07%,32,8,40,20.00%
Tschechische Republik,Prag,276,19,295,6.44%,90,34,124,27.42%
Tunesien,Tunis,7283,1745,9028,19.33%,1156,881,2037,43.25%
Türkei,Ankara,38072,12490,50562,24.70%,8827,2880,11707,24.60%
Türkei,Istanbul,79602,6778,86380,7.85%,4666,1340,6006,22.31%
Türkei,Izmir,21948,2808,24756,11.34%,2434,807,3241,24.90%
Türkei Gesamt,"",139622,22076,161698,13.65%,15927,5027,20954,23.99%
Turkmenistan,Aschgabat,1386,189,1575,12.00%,135,36,171,21.05%
Uganda,Kampala,1221,231,1452,15.91%,108,46,154,29.87%
Ukraine,Kiew,112520,11769,124289,9.47%,5732,840,6572,12.78%
Ungarn,Budapest,18,0,18,0.00%,37,16,53,30.19%
Uruguay,Montevideo,6,2,8,25.00%,47,6,53,11.32%
USA,Atlanta,1342,19,1361,1.40%,81,10,91,10.99%
USA,Boston,1424,15,1439,1.04%,43,7,50,14.00%
USA,Chicago,2852,150,3002,5.00%,211,24,235,10.21%
USA,Houston,1411,95,1506,6.31%,104,38,142,26.76%
USA,Los Angeles,2115,171,2286,7.48%,83,27,110,24.55%
USA,Miami,1103,28,1131,2.48%,65,5,70,7.14%
USA,New York,4465,511,4976,10.27%,147,52,199,26.13%
USA,San Francisco,3106,31,3137,0.99%,86,3,89,3.37%
USA,Washington,1419,7,1426,0.49%,590,17,607,2.80%
USA Gesamt,"",19237,1027,20264,5.07%,1410,183,1593,11.49%
Usbekistan,Taschkent,6378,538,6916,7.78%,765,214,979,21.86%
VAE,Abu Dhabi,14074,705,14779,4.77%,107,32,139,23.02%
VAE,Dubai,48324,1569,49893,3.14%,141,58,199,29.15%
VAE Gesamt,"",62398,2274,64672,3.52%,248,90,338,26.63%
Venezuela,Caracas,751,53,804,6.59%,285,44,329,13.37%
Vietnam,Hanoi,5523,714,6237,11.45%,1055,460,1515,30.36%
Vietnam,Ho-Chi-Minh-Stadt,4426,457,4883,9.36%,409,201,610,32.95%
Vietnam Gesamt,"",9949,1171,11120,10.53%,1464,661,2125,31.11%
Weißrussland,Minsk,84319,2398,86717,2.77%,1227,130,1357,9.58%
Zypern,Nikosia,1324,101,1425,7.09%,426,8,434,1.84%
Gesamt,Welt,1778857,163127,1941984,8.40%,138638,30044,168682,17.81%
