Land,AV-Ort,Schengen gesamt erteilt,Schengen gesamt abgelehnt,Schengen gesamt bearbeitet,Schengen Ablehnungsquote,D gesamt erteilt,D gesamt abgelehnt,D gesamt bearbeitet,D Ablehnungsquote
Costa Rica,San José,75,0,75,0.00%,206,5,211,2.37%
Côte d'Ivoire,Abidjan,778,246,1024,24.02%,135,62,197,31.47%
Dänemark,Kopenhagen,1,1,2,50.00%,88,13,101,12.87%
Dominikanische Republik,Santo Domingo,1861,852,2713,31.40%,469,212,681,31.13%
Ecuador,Quito,5239,199,5438,3.66%,,83,560,14.82%
EJR Mazedonien,Skopje,35,1,36,2.78%,1072,361,1433,25.19%
El Salvador,San Salvador,8,4,12,33.33%,20,0,20,0.00%
Estland,Tallinn,3,0,3,0.00%,16,3,19,15.79%
Finnland,Helsinki,2,0,2,0.00%,128,30,158,18.99%
Frankreich,Paris,50,15,65,23.08%,730,86,816,10.54%
Georgien,Tiflis,16595,1958,18553,10.55%,1266,269,1535,17.52%
Ghana,Accra,3394,1047,4441,23.58%,452,130,582,22.34%
Griechenland,Athen,13,0,13,0.00%,150,22,172,12.79%
Großbritannien,Edinburgh,2529,97,2626,3.69%,67,12,79,15.19%
Großbritannien,London,20289,136,21649,6.28%,673,60,733,8.19%
Großbritannien Gesamt,,22818,1457,24275,6.00%,740,72,812,8.87%
Guatemala,Guatemala-Stadt,74,2,76,2.63%,107,6,113,5.31%
Guinea,Conakry,758,930,1688,55.09%,86,31,117,26.50%
Honduras,Tegucigalpa,7,0,7,0.00%,26,4,30,13.33%
Indien,Bangalore,16922,1204,18126,6.64%,6658,261,6919,3.77%
Indien,Chennai,11313,1015,12328,8.23%,3328,319,3647,8.75%
Indien,Kalkutta,6307,167,6474,2.58%,515,21,536,3.92%
Indien,Mumbai,3778,673,38453,1.75%,3454,366,382,9.58%
Indien,New Delhi,2367,2268,25938,8.74%,2378,488,2866,17.03%
Indien Gesamt,,95992,5327,101319,5.26%,16333,1455,17788,8.18%
Indonesien,Jakarta,18227,468,18695,2.50%,2212,104,2316,4.49%
Irak,Bagdad,4402,132,4534,2.91%,187,20,207,9.66%
Irak,Erbil,4606,103,4709,2.19%,38,8,46,17.39%
Irak Gesamt,,9008,235,9243,2.54%,225,28,253,11.07%
Iran,Teheran,34251,10717,44968,23.83%,2569,599,3168,18.91%
Irland,Dublin,1125,44,1169,3.76%,61,4,65,6.15%
Island,Reykjavik,0,0,0,na,1,0,1,0.00%
Israel,Tel Aviv,517,11,528,2.08%,170,12,182,6.59%
Italien,Rom,63,2,65,3.08%,464,89,553,16.09%
Jamaika,Kingston,1369,100,1469,6.81%,39,17,56,30.36%
Japan,Osaka-Kobe,576,9,585,1.54%,330,5,335,1.49%
Japan,Tokio,1019,4,1023,0.39%,467,0,467,0.00%
Japan Gesamt,,1595,13,1608,0.81%,797,5,802,0.62%
Jemen,Sanaa,1444,97,1541,6.29%,129,16,145,11.03%
Jordanien,Amman,8207,583,879,6.63%,1563,98,1661,5.90%
Kambodscha,Phnom Penh,1214,81,1295,6.25%,75,3,78,3.85%
Kamerun,Jaunde,298,1114,4094,27.21%,1341,867,2208,39.27%
Kanada,Ottawa,484,19,503,3.78%,293,10,303,3.30%
Kanada,Toronto,1574,44,1618,2.72%,414,23,437,5.26%
Kanada,Vancouver,1241,3,1244,0.24%,416,11,427,2.58%
Kanada Gesamt,,3299,66,3365,1.96%,1123,44,1167,3.77%
Kasachstan,Almaty,20107,178,20285,0.88%,449,51,500,10.20%
Kasachstan,Astana,19452,788,2024,3.89%,875,141,1016,13.88%
Kasachstan Gesamt,,39559,966,40525,2.38%,1324,192,1516,12.66%
Katar,Doha,2827,195,28465,0.69%,76,3,79,3.80%
Kenia,Nairobi,3408,189,5298,35.67%,1208,685,1893,36.19%
Kirgistan,Bischkek,6603,589,7192,8.19%,519,205,724,28.31%
Kolumbien,Bogota,10314,719,11033,6.52%,1952,162,2114,7.66%
Kongo,Kinshasa,884,705,1589,44.37%,89,79,168,47.02%
Korea,Seoul,345,37,382,9.69%,1496,107,1603,6.67%
Korea DVR,Pjöngjang,301,11,312,3.53%,25,11,36,30.56%
Kosovo,Pristina,16629,4323,20952,20.63%,3606,775,4381,17.69%
Kroatien,Zagreb,5079,54,5133,1.05%,9588,409,9997,4.09%
Kuba,Havanna,2299,366,2665,13.73%,511,70,581,12.05%
Kuwait,Kuwait,29353,1069,30422,3.51%,130,17,147,11.56%
Laos,Vientiane,997,15,1012,1.48%,39,5,44,11.36%
Lettland,Riga,0,1,1,100.00%,205,22,227,9.69%
Libanon,Beirut,5592,1401,6993,20.03%,1567,200,1767,11.32%
Libyen,Tripolis,6044,40,6084,0.66%,470,44,514,8.56%
Litauen,Wilna,0,0,0,na,33,4,37,10.81%
Luxemburg,Luxemburg,0,0,0,na,50,4,54,7.41%
Madagaskar,Antananarivo,15,3,18,16.67%,132,39,171,22.81%
Malawi,Lilongwe,250,35,285,12.28%,10,2,12,16.67%
Malaysia,Kuala Lumpur,546,103,649,15.87%,552,33,585,5.64%
Mali,Bamako,437,358,795,45.03%,21,14,35,40.00%
Malta,Valletta,1,0,1,0.00%,17,3,20,15.00%
Marokko,Rabat,10729,1773,12502,14.18%,2474,442,2916,15.16%
Mauretanien,Nouakchott,431,103,534,19.29%,47,9,56,16.07%
Mexiko,Mexiko-Stadt,384,21,405,5.19%,3042,182,3224,5.65%
Moldau,Chisinau,6517,162,6679,2.43%,462,34,496,6.85%
Mongolai,Ulan Bator,8914,292,9206,3.17%,368,27,395,6.84%
Montenegro,Podgorica,123,18,141,12.77%,183,52,235,22.13%
Mosambik,Maputo,660,114,774,14.73%,55,10,65,15.38%
Myanmar,Rangun,2058,51,2109,2.42%,382,19,401,4.74%
Namibia,Windhuk,4979,55,5034,1.09%,124,3,127,2.36%
Nepal,Kathmandu,2112,792,2904,27.27%,637,202,839,24.08%
Neuseeland,Wellington,352,5,357,1.40%,232,15,247,6.07%
Nicaragua,Managua,12,1,13,7.69%,46,2,48,4.17%
Niederlande,Amsterdam,33,0,33,0.00%,504,39,543,7.18%
Nigeria,Abuja,1916,51,1967,2.59%,44,2,46,4.35%
Nigeria,Lagos,7309,521,12519,41.62%,599,194,793,24.46%
Nigeria Gesamt,,9225,5261,14486,36.32%,643,196,839,23.36%
Norwegen,Oslo,0,0,0,na,47,1,48,2.08%
Oman,Maskat,8163,28,8191,0.34%,89,2,91,2.20%
Österreich,Wien,24,4,28,14.29%,558,70,628,11.15%
Pakistan,Islamabad,5455,2118,7573,27.97%,1254,487,1741,27.97%
Pakistan,Karachi,8363,1128,9491,11.88%,348,58,406,14.29%
Pakistan Gesamt,,13818,3246,17064,19.02%,1602,545,2147,25.38%
Palästinensische Gebiete,Ramallah,2782,221,3003,7.36%,465,78,543,14.36%
Panama,Panama,244,0,244,0.00%,51,1,52,1.92%
Paraguay,Asuncion,24,0,24,0.00%,138,12,150,8.00%
Peru,Lima,6409,295,6704,4.40%,634,82,716,11.45%
Philippinen,Manila,1081,807,11617,6.95%,7358,220,7578,2.90%
Polen,Warschau,11,0,11,0.00%,180,28,208,13.46%
Portugal,Lissabon,17,0,17,0.00%,119,7,126,5.56%
Ruanda,Kigali,820,242,1062,22.79%,59,10,69,14.49%
Rumänien,Bukarest,364,38,402,9.45%,53,13,66,19.70%
Russische Föderation,Jekaterinburg,42727,511,43238,1.18%,1165,113,1278,8.84%
Russische Föderation,Kaliningrad,26186,690,26876,2.57%,499,57,556,10.25%
Russische Föderation,Moskau,252512,6856,259368,2.64%,6655,971,7626,12.73%
Russische Föderation,Nowosibirsk,47523,1093,48616,2.25%,1735,252,1987,12.68%
Russische Föderation,St Petersburg,28715,504,29219,1.72%,2002,151,2153,7.01%
Russische Föderation Gesamt,,397663,9654,407317,2.37%,12056,1544,136,11.35%
Sambia,Lusaka,870,60,930,6.45%,61,6,67,8.96%
Saudi-Arabien,Djidda,2814,2,2816,0.07%,43,0,43,0.00%
Saudi-Arabien,Riad,45859,890,46749,1.90%,898,104,1002,10.38%
Saudi-Arabien Gesamt,,48673,892,49565,1.80%,941,104,1045,9.95%
Schweden,Stockholm,0,2,2,100.00%,305,48,353,13.60%
Schweiz,Bern,1,0,1,0.00%,443,27,470,5.74%
Senegal,Dakar,1765,755,252,29.96%,276,67,343,19.53%
Serbien,Belgrad,1821,100,1921,5.21%,322,680,39,17.44%
Simbabwe,Harare,781,7,788,0.89%,104,3,107,2.80%
Singapur,Singapur,3749,34,3783,0.90%,818,57,875,6.51%
Slowakei,Pressburg,0,0,0,na,7,0,7,0.00%
Slowenien,Laibach,7,2,9,22.22%,796,261,8221,3.17%
Spanien,Madrid,7,1,8,12.50%,370,69,439,15.72%
Sri Lanka,Colombo,3679,1024,4703,21.77%,577,85,662,12.84%
Südafrika,Kapstadt,10651,46,10697,0.43%,289,2,291,0.69%
Südafrika,Pretoria,22547,132,22679,0.58%,383,22,405,5.43%
Südafrika Gesamt,,33198,178,33376,0.53%,672,24,696,3.45%
Sudan,Khartum,685,387,1072,36.10%,80,91,171,53.22%
Syrien,Damaskus,24,66,90,73.33%,107,322,429,75.06%
Tadschikistan,Duschanbe,2779,117,2896,4.04%,124,17,141,12.06%
Taiwan,Taipei,182,2,184,1.09%,1258,69,1327,5.20%
Tansania,Daressalam,2134,93,2227,4.18%,278,38,316,12.03%
Thailand,Bangkok,37769,1855,39624,4.68%,2812,216,3028,7.13%
Togo,Lome,560,141,701,20.11%,183,175,358,48.88%
Trinidad und Tobago,Port-of-Spain,1791,5,1796,0.28%,44,1,45,2.22%
Tschechische Republik,Prag,7,0,7,0.00%,211,45,256,17.58%
Tunesien,Tunis,9579,756,10335,7.31%,2076,361,2437,14.81%
Türkei,Ankara,42889,6714,49603,13.54%,78,1702,9502,17.91%
Türkei,Istanbul,87709,6018,93727,6.42%,503,959,5989,16.01%
Türkei,Izmir,26256,1109,27365,4.05%,2295,286,2581,11.08%
Türkei Gesamt,,156854,13841,170695,8.11%,15125,2947,18072,16.31%
Turkmenistan,Aschgabat,3317,95,3412,2.78%,123,16,139,11.51%
Uganda,Kampala,1625,396,2021,19.59%,166,50,216,23.15%
Ukraine,Kiew,100534,5908,106442,5.55%,628,815,7095,11.49%
Ungarn,Budapest,9,0,9,0.00%,61,16,77,20.78%
Uruguay,Montevideo,12,0,12,0.00%,57,1,58,1.72%
USA,Atlanta,1151,27,1178,2.29%,100,9,109,8.26%
USA,Boston,1257,7,1264,0.55%,86,1,87,1.15%
USA,Chicago,2354,38,2392,1.59%,235,20,255,7.84%
USA,Houston,1444,31,1475,2.10%,117,20,137,14.60%
USA,Los Angeles,1746,43,1789,2.40%,144,36,180,20.00%
USA,Miami,1077,39,1116,3.49%,45,4,49,8.16%
USA,New York,387,93,3963,2.35%,313,41,354,11.58%
USA,San Francisco,2697,80,2777,2.88%,148,13,161,8.07%
USA,Washington,1201,6,1207,0.50%,599,5,604,0.83%
USA Gesamt,,16797,364,17161,2.12%,1787,149,1936,7.70%
Usbekistan,Taschkent,7346,1274,862,14.78%,480,256,736,34.78%
VAE,Abu Dhabi,26445,1559,28004,5.57%,124,23,147,15.65%
VAE,Dubai,506,3851,54451,7.07%,331,108,439,24.60%
VAE Gesamt,,77045,541,82455,6.56%,455,131,586,22.35%
Venezuela,Caracas,1114,40,1154,3.47%,374,33,407,8.11%
Vietnam,Hanoi,8307,453,876,5.17%,1072,282,1354,20.83%
Vietnam,Ho-Chi-Minh-Stadt,4966,530,5496,9.64%,599,107,706,15.16%
Vietnam Gesamt,,13273,983,14256,6.90%,1671,389,206,18.88%
Weißrussland,Minsk,65809,227,66036,0.34%,1326,123,1449,8.49%
Zypern,Nikosia,176,156,1916,8.14%,43,16,59,27.12%
Gesamt,Welt,1782351,115378,1897729,6.08%,174071,22596,196667,11.49%
